work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
신풍낙영|||사마달,신풍낙영,사마달,프로무림,2021-02,58,467087,6837,Y,35660,Y,54783,Y,102684,Y,8,0.3068
신흥재벌|||박재학,신흥재벌,박재학,포텐,2021-02,59,6229547,132915,Y,508870,Y,985671,Y,1975056,Y,20,0.2744
실명 시리즈전 작|||서효원,실명 시리즈전 작,서효원,프로무림,2021-02,43,583278,9100,Y,100,Y,100,Y,68100,Y,1,1.0
실명대협|||서효원,실명대협,서효원,프로무림,2021-02,59,1579468,19180,Y,68480,Y,144580,Y,330720,Y,11,0.4158
실명마제|||서효원,실명마제,서효원,프로무림,2021-02,60,1627553,25200,Y,64800,Y,75900,Y,231054,Y,12,0.3178
실명천하|||서효원,실명천하,서효원,프로무림,2021-02,60,5395603,138515,Y,347415,Y,545215,Y,1098595,Y,14,0.2414
실버문|||사이딘,실버문,사이딘,프로무림,2021-02,14,265629,16660,Y,30625,Y,65905,Y,79135,Y,1,1.0
십검애사|||설봉,십검애사,설봉,프로무림,2021-02,36,622909,41600,Y,57000,Y,123300,Y,179900,Y,6,0.2668
십교종사|||천중행,십교종사,천중행,프로무림,2021-02,59,927719,22288,Y,59124,Y,126204,Y,227358,Y,9,0.3667
십궁지대|||청운하,십궁지대,청운하,프로무림,2021-02,58,267535,6031,Y,10680,Y,23808,Y,51068,Y,5,0.4541
"십대천왕|||사마달, 일주향",십대천왕,"사마달, 일주향",프로무림,2021-02,60,2884636,75711,Y,150844,Y,346119,Y,627285,Y,11,0.4175
"십대천왕|||일주향, 사마달",십대천왕,"일주향, 사마달",프로무림,2021-02,59,1755653,37945,Y,92807,Y,230736,Y,405658,Y,11,0.3986
십매어황|||청운하,십매어황,청운하,프로무림,2021-02,57,395467,10861,Y,32975,Y,51937,Y,70086,Y,8,0.4738
"십방천사|||사마달, 상관월",십방천사,"사마달, 상관월",프로무림,2021-02,59,996760,11878,Y,60155,Y,136400,Y,252410,Y,10,0.465
십왕독보|||와룡강,십왕독보,와룡강,프로무림,2021-02,59,9830812,143340,Y,384666,Y,871469,Y,2164549,Y,9,0.2119
십왕책|||천중행,십왕책,천중행,프로무림,2021-02,58,597483,11867,Y,28699,Y,78469,Y,163691,Y,7,0.2737
십전무판자|||검궁인,십전무판자,검궁인,프로무림,2021-02,59,708725,8226,Y,37550,Y,83816,Y,156159,Y,11,0.4095
"십전서생|||검궁인, 사마달",십전서생,"검궁인, 사마달",프로무림,2021-02,59,1656854,32145,Y,99405,Y,225458,Y,364316,Y,10,0.2928
