=== Genre Library Builder 시작: 2026-02-04T17:15:49.807264 ===
작품 수: 10

[ 1937.9s] 마법배             | 추출중      |  45% |  24블록 | Block 25/91
[ 1957.0s] 독3              | 추출중      |  31% |   3블록 | Block 4/151
[ 1964.5s] 재벌 총수           | 추출중      |  56% |  28블록 | Block 29/64
[ 1975.7s] 1980독식재         | 추출중      |  68% |  28블록 | Block 29/44
[ 1978.5s] 재첫              | 추출중      |  48% |  22블록 | Block 23/72
[ 1978.9s] 복수재벌            | 추출중      |  61% |  20블록 | Block 21/38
[ 1983.7s] 악당 재벌           | 추출중      |  70% |  23블록 | Block 24/34
[ 1984.6s] 불행재벌            | 추출중      |  50% |  22블록 | Block 23/63
[ 1984.7s] 마법배             | 추출중      |  46% |  25블록 | Block 26/91
[ 1985.9s] 회몰투             | 추출중      |  53% |  23블록 | Block 24/59
[ 2002.0s] 투자백서            | 추출중      |  38% |  10블록 | Block 11/72
[ 2004.4s] 독3              | 추출중      |  31% |   4블록 | Block 5/151
[ 2013.4s] 재벌 총수           | 추출중      |  57% |  29블록 | Block 30/64
[ 2026.5s] 재첫              | 추출중      |  49% |  23블록 | Block 24/72
[ 2027.8s] 1980독식재         | 추출중      |  69% |  29블록 | Block 30/44
[ 2028.1s] 복수재벌            | 추출중      |  63% |  21블록 | Block 22/38
[ 2028.5s] 마법배             | 추출중      |  47% |  26블록 | Block 27/91
[ 2032.3s] 악당 재벌           | 추출중      |  72% |  24블록 | Block 25/34
[ 2042.2s] 회몰투             | 추출중      |  54% |  24블록 | Block 25/59
[ 2044.7s] 불행재벌            | 추출중      |  51% |  23블록 | Block 24/63
[ 2048.6s] 투자백서            | 추출중      |  39% |  11블록 | Block 12/72
[ 2050.5s] 독3              | 추출중      |  31% |   5블록 | Block 6/151
[ 2065.3s] 복수재벌            | 추출중      |  64% |  22블록 | Block 23/38
[ 2068.2s] 재벌 총수           | 추출중      |  58% |  30블록 | Block 31/64
[ 2070.8s] 재첫              | 추출중      |  50% |  24블록 | Block 25/72
[ 2071.3s] 1980독식재         | 추출중      |  70% |  30블록 | Block 31/44
[ 2085.6s] 악당 재벌           | 추출중      |  74% |  25블록 | Block 26/34
[ 2088.6s] 마법배             | 추출중      |  47% |  27블록 | Block 28/91
[ 2095.0s] 회몰투             | 추출중      |  55% |  25블록 | Block 26/59
[ 2096.8s] 투자백서            | 추출중      |  40% |  12블록 | Block 13/72
[ 2100.8s] 불행재벌            | 추출중      |  52% |  24블록 | Block 25/63
[ 2105.0s] 독3              | 추출중      |  32% |   6블록 | Block 7/151
[ 2106.8s] 재벌 총수           | 추출중      |  59% |  31블록 | Block 32/64
[ 2110.5s] 재첫              | 추출중      |  50% |  25블록 | Block 26/72
[ 2117.2s] 복수재벌            | 추출중      |  66% |  23블록 | Block 24/38
[ 2121.2s] 1980독식재         | 추출중      |  72% |  31블록 | Block 32/44
[ 2127.2s] 악당 재벌           | 추출중      |  75% |  26블록 | Block 27/34
[ 2129.1s] 마법배             | 추출중      |  48% |  28블록 | Block 29/91
[ 2146.1s] 재벌 총수           | 추출중      |  60% |  32블록 | Block 33/64
[ 2149.5s] 독3              | 추출중      |  32% |   7블록 | Block 8/151
[ 2151.4s] 불행재벌            | 추출중      |  53% |  25블록 | Block 26/63
[ 2153.2s] 투자백서            | 추출중      |  40% |  13블록 | Block 14/72
[ 2156.5s] 재첫              | 추출중      |  51% |  26블록 | Block 27/72
[ 2160.9s] 회몰투             | 추출중      |  56% |  26블록 | Block 27/59
[ 2162.2s] 복수재벌            | 추출중      |  67% |  24블록 | Block 25/38
[ 2167.7s] 마법배             | 추출중      |  49% |  29블록 | Block 30/91
[ 2168.8s] 1980독식재         | 추출중      |  73% |  32블록 | Block 33/44
[ 2170.6s] 악당 재벌           | 추출중      |  77% |  27블록 | Block 28/34
[ 2198.5s] 재벌 총수           | 추출중      |  60% |  33블록 | Block 34/64
[ 2199.2s] 투자백서            | 추출중      |  41% |  14블록 | Block 15/72
[ 2204.4s] 재첫              | 추출중      |  52% |  27블록 | Block 28/72
[ 2206.8s] 마법배             | 추출중      |  49% |  30블록 | Block 31/91
[ 2209.9s] 1980독식재         | 추출중      |  75% |  33블록 | Block 34/44
[ 2209.9s] 불행재벌            | 추출중      |  54% |  26블록 | Block 27/63
[ 2212.2s] 독3              | 추출중      |  33% |   8블록 | Block 9/151
[ 2213.1s] 악당 재벌           | 추출중      |  79% |  28블록 | Block 29/34
[ 2215.8s] 회몰투             | 추출중      |  57% |  27블록 | Block 28/59
[ 2220.8s] 복수재벌            | 추출중      |  69% |  25블록 | Block 26/38
[ 2244.9s] 마법배             | 추출중      |  50% |  31블록 | Block 32/91
[ 2249.5s] 재벌 총수           | 추출중      |  61% |  34블록 | Block 35/64
[ 2251.6s] 재첫              | 추출중      |  53% |  28블록 | Block 29/72
[ 2257.3s] 투자백서            | 추출중      |  42% |  15블록 | Block 16/72
[ 2259.7s] 1980독식재         | 추출중      |  76% |  34블록 | Block 35/44
[ 2260.0s] 불행재벌            | 추출중      |  55% |  27블록 | Block 28/63
[ 2261.7s] 악당 재벌           | 추출중      |  81% |  29블록 | Block 30/34
[ 2267.8s] 회몰투             | 추출중      |  58% |  28블록 | Block 29/59
[ 2271.6s] 복수재벌            | 추출중      |  71% |  26블록 | Block 27/38
[ 2274.6s] 독3              | 추출중      |  33% |   9블록 | Block 10/151
[ 2292.0s] 마법배             | 추출중      |  51% |  32블록 | Block 33/91
[ 2296.8s] 재벌 총수           | 추출중      |  62% |  35블록 | Block 36/64
[ 2297.3s] 재첫              | 추출중      |  54% |  29블록 | Block 30/72
[ 2305.3s] 악당 재벌           | 추출중      |  82% |  30블록 | Block 31/34
[ 2306.2s] 투자백서            | 추출중      |  43% |  16블록 | Block 17/72
[ 2310.1s] 1980독식재         | 추출중      |  77% |  35블록 | Block 36/44
[ 2310.9s] 불행재벌            | 추출중      |  56% |  28블록 | Block 29/63
[ 2318.1s] 회몰투             | 추출중      |  59% |  29블록 | Block 30/59
[ 2320.3s] 복수재벌            | 추출중      |  72% |  27블록 | Block 28/38
[ 2321.4s] 독3              | 추출중      |  33% |  10블록 | Block 11/151
[ 2337.4s] 마법배             | 추출중      |  51% |  33블록 | Block 34/91
[ 2342.6s] 재벌 총수           | 추출중      |  63% |  36블록 | Block 37/64
[ 2350.3s] 재첫              | 추출중      |  55% |  30블록 | Block 31/72
[ 2358.2s] 악당 재벌           | 추출중      |  84% |  31블록 | Block 32/34
[ 2360.2s] 불행재벌            | 추출중      |  57% |  29블록 | Block 30/63
[ 2362.8s] 복수재벌            | 추출중      |  74% |  28블록 | Block 29/38
[ 2365.7s] 1980독식재         | 추출중      |  79% |  36블록 | Block 37/44
[ 2368.9s] 독3              | 추출중      |  34% |  11블록 | Block 12/151
[ 2374.5s] 회몰투             | 추출중      |  60% |  30블록 | Block 31/59
[ 2379.4s] 투자백서            | 추출중      |  44% |  17블록 | Block 18/72
[ 2380.2s] 마법배             | 추출중      |  52% |  34블록 | Block 35/91
[ 2387.2s] 재벌 총수           | 추출중      |  64% |  37블록 | Block 38/64
[ 2389.4s] 재첫              | 추출중      |  55% |  31블록 | Block 32/72
[ 2399.3s] 악당 재벌           | 추출중      |  86% |  32블록 | Block 33/34
[ 2408.5s] 복수재벌            | 추출중      |  75% |  29블록 | Block 30/38
